date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:23	153755/153755	---M-Z	200	added ('OK')	text/html	etag:%221526938167-1%22	http://www.coolmath-games.com/1-new-games	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/1-new-games.html	(from http://www.coolmath-games.com/)
14:44:24	2900/2900	---M--	200	added ('OK')	image/png	etag:%22b54-54ae5397daca8%22	http://www.coolmath-games.com/sites/cmatgame/files/cm.png	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/cm.png	(from http://www.coolmath-games.com/)
14:44:24	155637/155637	---M-Z	200	added ('OK')	text/html	etag:%221526938102-1%22	http://www.coolmath-games.com/0-the-illusory-wall	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-the-illusory-wall.html	(from http://www.coolmath-games.com/)
14:44:24	150311/150311	---M-Z	200	added ('OK')	text/html	etag:%221526950873-1%22	http://www.coolmath-games.com/0-cannon-basketball-4	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-cannon-basketball-4.html	(from http://www.coolmath-games.com/)
14:44:26	2192/2192	---M--	200	added ('OK')	image/png	etag:%22890-56cbd87726850%22	http://www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/the-illusory-wall-game-logo.png?0=itok%3Du21stwLi	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/the-illusory-wall-game-logo6970.png	(from http://www.coolmath-games.com/)
14:44:26	157642/157642	---M-Z	200	added ('OK')	text/html	etag:%221526952188-1%22	http://www.coolmath-games.com/0-another-gentlemans-adventure	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-another-gentlemans-adventure.html	(from http://www.coolmath-games.com/)
14:44:26	5152/5152	---M--	200	added ('OK')	image/png	etag:%221420-56c6d7b4d5530%22	http://www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/cannon-basketball-4-game-logo.png?0=itok%3DYfXXpZYW	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/cannon-basketball-4-game-logo43d6.png	(from http://www.coolmath-games.com/)
14:44:26	152831/152831	---M-Z	200	added ('OK')	text/html	etag:%221526950292-1%22	http://www.coolmath-games.com/0-circloo-2	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-circloo-2.html	(from http://www.coolmath-games.com/)
14:44:28	2830/2830	---M--	200	added ('OK')	image/png	etag:%22b0e-56c30fd0ca298%22	http://www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/another-gentlemans-adventure-game-logo.png?0=itok%3DRzeb9IUh	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/another-gentlemans-adventure-game-logo7a72.png	(from http://www.coolmath-games.com/)
14:44:28	150723/150723	---M-Z	200	added ('OK')	text/html	etag:%221526951013-1%22	http://www.coolmath-games.com/0-lets-play-golf	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-lets-play-golf.html	(from http://www.coolmath-games.com/)
